traj_idx,frame,x,y
1,1,1.0151306,6.6936306
1,2,0.82144331,7.1973107
2,5,1.6057362,13.645658
2,6,1.4495347,13.602025
3,9,0.84778746,8.0726575
3,10,0.95341753,8.3934478
4,51,1.0411707,10.324546
4,52,0.90076986,10.148775
5,76,1.1011169,10.462821
5,77,1.1546132,10.298611
5,78,1.0912199,10.205038
6,79,1.0096121,13.808696
6,80,0.89628865,13.806372
7,83,1.0110226,9.058698
7,84,0.91419038,8.9571019
7,85,0.99310368,8.9355728
8,88,0.95945444,10.120147
8,89,0.96566104,10.104904
8,90,0.91848337,10.169149
8,91,1.0528199,10.239428
9,96,0.92599454,5.218448
9,97,1.054087,5.0505384
10,100,1.1135777,10.322107
10,101,1.0382783,10.055576
11,128,1.2028528,5.3140998
11,129,1.1155285,5.2950456
12,133,1.0831625,1.4913417
12,134,0.9022705,1.2688477
13,136,0.88058014,13.724994
13,137,0.99333523,13.739825
13,138,0.94063071,13.768002
14,148,0.95013013,10.249806
14,149,1.0586887,10.176372
15,159,0.82212645,13.689588
15,160,0.9266122,13.788819
15,161,0.984813,13.883709
15,162,0.9242104,13.86134
16,162,1.8245959,1.8960455
16,163,1.9699376,1.861097
16,164,2.0263526,1.8348736
17,167,1.8069551,1.9551251
17,168,1.9241644,2.1454968
17,169,1.7720542,1.8578314
18,168,0.92947342,10.081484
18,169,0.94546787,10.248317
18,170,0.95422574,10.080463
19,172,2.0656268,14.456644
19,173,1.9741187,14.391055
20,173,0.96093538,13.81107
20,174,1.503453,13.751052
20,175,1.5527945,13.689444
20,176,0.92947269,13.785218
20,177,0.93474376,13.884553
21,187,0.9994202,13.835771
21,188,0.95039243,13.808105
21,189,0.98504084,13.913486
21,190,1.017055,13.815134
21,191,1.0500891,13.802478
21,192,1.4498137,13.609099
21,193,1.0154204,13.748953
21,194,0.94172514,13.754189
21,195,1.0750284,13.71695
21,196,0.88194846,13.78122
21,197,1.0072043,13.791483
21,198,0.88906046,13.77532
21,199,0.96032063,13.781038
22,201,0.97683438,13.824145
22,202,0.92292575,13.786735
22,203,0.90667654,13.84122
22,204,1.1518199,13.768008
23,209,1.4071623,1.8634409
23,210,1.4002932,1.5939613
23,211,1.9877817,1.752472
24,238,1.0166625,10.165613
24,239,1.1300549,10.567132
25,241,1.009919,10.321545
25,242,1.0080516,10.242791
25,243,1.060661,10.391917
26,242,0.82393344,6.3976141
26,243,0.81639424,6.503836
27,275,2.0658594,9.7604717
27,276,2.0314567,9.8438192
28,280,1.4361889,13.646932
28,281,1.6907124,13.773991
29,284,1.9426651,7.4459996
29,285,1.9573943,7.2029492
29,286,2.0605658,7.1682094
30,295,1.3056007,7.994912
30,296,1.6079454,7.7039126
30,297,1.5594329,7.4815399
30,298,1.5892452,7.2823052
30,299,1.5010552,7.9121671
31,314,1.5676388,13.625853
31,315,1.4696927,13.560644
32,319,2.0628237,9.7398499
32,320,1.9745799,9.6959407
32,321,2.0390986,9.6366664
32,322,2.0340385,9.6699543
32,323,1.9617178,9.6812217
32,324,1.6445838,9.4968312
32,325,1.7562854,9.5378716
32,326,2.0684463,9.7220697
33,320,0.83398195,11.262659
33,321,1.383949,11.591157
33,322,1.8618628,12.023011
34,330,1.2398867,8.3006363
34,331,1.3602551,8.2892289
34,332,1.2436521,8.3178765
35,367,2.0439217,11.557741
35,368,1.6952031,11.532574
35,369,1.6261722,11.41396
36,371,2.0528891,11.526737
36,372,1.748758,11.392501
36,373,1.3254324,11.397184
37,376,0.99613124,1.3422541
37,377,1.1490167,1.2644929
37,378,1.4162948,1.3063267
38,379,1.2183655,2.0447441
38,380,1.4622956,1.8546959
38,381,0.9304018,1.2278597
39,424,1.3882362,13.547459
39,425,1.2279391,13.484496
39,426,1.3624874,13.508189
39,427,1.3814081,13.668079
39,428,1.2912541,13.582762
39,429,1.3109384,13.52863
39,430,1.217154,13.27596
39,431,1.508016,13.196503
40,434,1.7621979,2.2875245
40,435,1.812498,2.3583306
41,439,1.7988294,2.2279637
41,440,1.8226365,2.3181921
42,450,2.0540913,5.6798058
42,451,2.0623339,5.4908453
43,457,1.0075355,5.6053653
43,458,1.1569991,5.6192279
43,459,1.2281848,5.5139224
43,460,1.2265618,5.4943112
43,461,1.3722841,5.5192456
44,465,1.4266702,5.7957848
44,466,1.5944449,5.7187406
44,467,1.5441268,5.7312413
44,468,1.9854254,5.4679667
45,469,1.3279582,5.8339636
45,470,1.3146474,5.7101286
45,471,1.4194526,5.6871579
46,473,1.4920315,5.6462993
46,474,1.4510562,5.7250391
47,474,1.8108645,2.245747
47,475,1.7687281,2.3729963
47,476,1.7401373,2.2673121
48,494,1.2846468,10.500223
48,495,1.5719404,10.568138
49,504,1.2016986,13.981632
49,505,1.0228201,14.035986
50,521,1.7343897,13.88819
50,522,1.7286317,13.803263
50,523,1.8240668,13.777602
50,524,1.6687618,13.685719
50,525,1.8888086,13.746301
51,527,1.9398383,13.606019
51,528,2.0116647,13.500197
51,529,2.0643731,13.510762
51,530,2.0070698,13.671854
52,545,2.0506679,14.53818
52,546,1.9871668,14.58251
52,547,1.9980003,14.559383
52,548,1.889414,14.4164
52,549,1.6818018,14.112507
52,550,1.6359438,14.139966
52,551,1.8399305,14.270734
52,552,1.5190774,14.591974
52,553,1.600978,14.355435
52,554,1.6143417,14.12937
53,553,2.0731687,2.9787577
53,554,1.9689627,2.9766335
53,555,1.8249988,2.9946715
53,556,1.895667,2.8513338
53,557,2.057442,2.8869722
54,576,1.6221159,13.794795
54,577,1.7357681,13.835482
55,598,1.8495567,13.654199
55,599,1.7889099,13.720484
56,605,1.9045774,1.2111707
56,606,2.0301493,1.336123
57,612,1.2319076,2.751635
57,613,1.3711337,3.1598003
58,621,1.1009556,6.7249679
58,622,0.98173908,6.5565713
58,623,1.1807989,6.8271371
59,635,0.9689347,13.802726
59,636,0.84168697,13.787433
60,643,1.4538941,10.71706
60,644,1.4133223,10.836787
61,650,1.2254375,10.695832
61,651,1.5215039,10.793656
61,652,1.182207,10.782358
62,654,0.92991733,13.80767
62,655,0.85021376,13.740801
62,656,0.96602532,13.756906
63,674,0.96708494,13.739535
63,675,0.96026754,13.837616
63,676,1.0319127,13.737427
64,680,1.2745321,3.902899
64,681,1.3784368,3.8788088
65,682,1.808929,2.7928319
65,683,1.4648654,3.1574326
