traj_idx,frame,x,y
1,12,2.0902024,4.8362202
1,13,2.041208,4.8364776
1,14,2.0190645,4.8487629
2,24,1.0940308,5.8479996
2,25,1.0877493,5.8414872
2,26,1.0751627,5.8307441
3,28,1.1316793,5.6952709
3,29,1.1530948,5.7697942
4,32,2.2230645,9.1743867
4,33,2.1052985,9.1431472
5,35,2.2108388,9.1552881
5,36,2.2152589,9.1872056
5,37,2.2167353,9.2215188
6,51,2.2023359,9.1199509
6,52,2.2238846,9.1941997
6,53,2.1757287,9.1530614
7,71,1.8997405,4.7703165
7,72,1.9945246,4.8511027
8,94,2.2013636,0.89801344
8,95,2.2263911,1.0354498
9,99,2.1334981,2.5286514
9,100,2.2387949,2.5144489
10,121,1.9495195,4.8049649
10,122,1.9445771,4.8183477
11,130,1.6317815,3.5128225
11,131,1.6813463,3.4290531
11,132,1.6311738,3.4788505
11,133,1.7351359,3.4554851
11,134,1.6211081,3.4102378
11,135,1.7052117,3.4492914
12,175,2.0427935,4.8690652
12,176,1.9813426,4.8558138
13,178,0.91751324,2.033239
13,179,0.87925643,2.0645656
13,180,0.93161277,1.9638373
14,184,1.9474556,4.7623461
14,185,2.0609025,4.8263434
15,200,1.9437531,4.7476609
15,201,1.9900406,4.8239694
16,203,2.0449343,4.8392436
16,204,2.0172313,4.848785
17,208,2.1006175,4.7656685
17,209,2.0397,4.7762472
18,211,1.9950335,4.8052823
18,212,1.9682249,4.9149599
19,225,1.5694695,6.5269811
19,226,1.6281623,6.4628776
19,227,1.6093184,6.4514647
20,229,1.5678298,6.5483039
20,230,1.6362034,6.5019748
21,236,1.5973565,6.5528949
21,237,1.5459619,6.5581093
21,238,1.5935797,6.5083127
22,242,1.5896467,6.5217521
22,243,1.6133291,6.4121841
23,431,1.3658931,1.6393134
23,432,1.3946718,1.7208917
23,433,1.3881831,1.7316494
23,434,1.3506292,1.702675
23,435,1.3073464,1.704529
23,436,1.4401913,1.6952995
23,437,1.4201215,1.6508863
23,438,1.3717847,1.6806181
23,439,1.402006,1.7049668
23,440,1.3965227,1.7505867
23,441,1.2194456,1.7217312
23,442,1.3407857,1.6970709
23,443,1.4122408,1.7407406
23,444,1.3902211,1.740271
24,477,1.3249913,1.6611391
24,478,1.3097652,1.7228538
24,479,1.3607512,1.6408878
25,481,1.2924509,1.7388097
25,482,1.3797076,1.7657055
25,483,1.4314929,1.7042587
26,490,1.3269702,1.5872801
26,491,1.3613478,1.6438744
27,493,1.4035249,1.5788651
27,494,1.3688822,1.7010885
27,495,1.3574187,1.6337882
27,496,1.3461628,1.6823231
27,497,1.4442322,1.6015729
27,498,1.2974423,1.6846182
